ico,of,kpf,npf,dv,dz,esak,esa,kpp,nacek,nace
00000205,"Vojenské lesy a statky ČR, s.p.",301,Státní podnik,1972-01-01,,11001,Nefinanční podniky veřejné,3000 - 3999 zaměstnanců,02200,Těžba dřeva
00000493,"VOP CZ, s.p.",301,Státní podnik,1991-12-09,,11001,Nefinanční podniky veřejné,500 - 999 zaměstnanců,28220,Výroba zdvihacích a manipulačních zařízení
00000582,Vojenská lázeňská a rekreační zařízení,331,Příspěvková organizace,1981-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,55200,Rekreační a ostatní krátkodobé ubytování
00001279,"STÁTNÍ TISKÁRNA CENIN, státní podnik",301,Státní podnik,1972-01-01,,11001,Nefinanční podniky veřejné,250 - 499 zaměstnanců,18120,"Tisk ostatní, kromě novin"
00001350,"Československá obchodní banka, a. s.",121,Akciová společnost,1990-01-26,,12203,Instituce přijímající vklady kromě centrální banky pod zahraniční kontrolou,5000 - 9999 zaměstnanců,64190,Ostatní peněžní zprostředkování
00002739,"DIAMO, státní podnik",301,Státní podnik,1991-01-01,,11001,Nefinanční podniky veřejné,2500 - 2999 zaměstnanců,07211,Těžba uranových a thoriových rud
00006599,Úřad vlády České republiky,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00006963,Česká správa sociálního zabezpečení,325,Organizační složka státu,1991-12-13,,13110,Ústřední vládní instituce,5000 - 9999 zaměstnanců,84300,Činnosti v oblasti povinného sociálního zabezpečení
00007064,Ministerstvo vnitra,325,Organizační složka státu,1988-04-21,,13110,Ústřední vládní instituce,5000 - 9999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00007536,"Palivový kombinát Ústí, státní podnik",301,Státní podnik,1991-01-01,,11001,Nefinanční podniky veřejné,250 - 499 zaměstnanců,39000,Sanace a jiné činnosti související s odpady
00010669,"Výzkumný a zkušební letecký ústav, a.s.",121,Akciová společnost,1990-12-01,,11001,Nefinanční podniky veřejné,250 - 499 zaměstnanců,7219,Ostatní výzkum a vývoj v oblasti přírodních a technických věd
00013226,TONAK a.s.,121,Akciová společnost,1988-01-01,,11003,Nefinanční podniky soukromé pod zahraniční kontrolou,500 - 999 zaměstnanců,14190,Výroba ostatních oděvů a oděvních doplňků
00014915,Metrostav a.s.,121,Akciová společnost,1991-01-01,,11002,Nefinanční podniky soukromé národní,2500 - 2999 zaměstnanců,4120,Výstavba bytových a nebytových budov
00019305,STÁTNÍ VETERINÁRNÍ ÚSTAV PRAHA,331,Příspěvková organizace,1981-01-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,7120,Technické zkoušky a analýzy
00020478,Ministerstvo zemědělství,325,Organizační složka státu,1981-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00020681,Ústav pro hospodářskou úpravu lesů,325,Organizační složka státu,1979-03-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,84130,Regulace a podpora podnikatelského prostředí
00020699,Český hydrometeorologický ústav,331,Příspěvková organizace,1982-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,71123,Hydrometeorologické a meteorologické činnosti
00020729,Státní fond životního prostředí České republiky,381,Fond (ze zákona),1972-01-01,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,84120,"Regulace činností souvisejících s poskytováním zdravotní péče, vzděláváním, kulturou a sociální péčí, kromě sociálního zabezpečení"
00020869,Česká obchodní inspekce,325,Organizační složka státu,1981-01-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,84130,Regulace a podpora podnikatelského prostředí
00022985,"Ministerstvo školství, mládeže a tělovýchovy",325,Organizační složka státu,1981-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00023001,INSTITUT KLINICKÉ A EXPERIMENTÁLNÍ MEDICINY,331,Příspěvková organizace,1974-01-01,,13110,Ústřední vládní instituce,2000 - 2499 zaměstnanců,86100,Ústavní zdravotní péče
00023728,REVMATOLOGICKÝ ÚSTAV,331,Příspěvková organizace,1974-01-01,,13110,Ústřední vládní instituce,200 - 249 zaměstnanců,86100,Ústavní zdravotní péče
00023736,ÚSTAV HEMATOLOGIE A KREVNÍ TRANSFUZE,331,Příspěvková organizace,1972-01-01,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,86100,Ústavní zdravotní péče
00023817,Státní ústav pro kontrolu léčiv,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,72191,Výzkum a vývoj v oblasti lékařských věd
00023841,Institut postgraduálního vzdělávání ve zdravotnictví,331,Příspěvková organizace,1976-04-01,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,85599,Jiné vzdělávání j. n.
00023850,Národní centrum ošetřovatelství a nelékařských zdravotnických oborů,331,Příspěvková organizace,1986-01-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,85599,Jiné vzdělávání j. n.
00023884,Nemocnice Na Homolce,331,Příspěvková organizace,1985-01-01,,13110,Ústřední vládní instituce,2500 - 2999 zaměstnanců,86100,Ústavní zdravotní péče
00024007,"Státní léčebné lázně Janské Lázně, státní podnik",301,Státní podnik,1990-07-30,,11001,Nefinanční podniky veřejné,250 - 499 zaměstnanců,86100,Ústavní zdravotní péče
00024724,Okresní soud v Chebu,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,50 - 99 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00024767,Okresní soud Plzeň - jih,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,50 - 99 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00024899,Okresní soud v Mostě,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00024953,Okresní soud v Chrudimi,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,50 - 99 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00025020,Okresní soud v Trutnově,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,50 - 99 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00025232,Okresní soud v Novém Jičíně,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00025267,Okresní soud v Ostravě,325,Organizační složka státu,1975-03-30,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00025291,Okresní soud ve Vsetíně,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,50 - 99 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00025429,Ministerstvo spravedlnosti,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00025593,Český statistický úřad,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00025798,Česká geologická služba,331,Příspěvková organizace,1972-01-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,7219,Ostatní výzkum a vývoj v oblasti přírodních a technických věd
00026042,Krajské státní zastupitelství Ústí nad Labem,325,Organizační složka státu,1975-03-30,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00027014,"Výzkumný ústav živočišné výroby, v. v. i.",661,Veřejná výzkumná instituce,1981-01-01,,13110,Ústřední vládní instituce,200 - 249 zaměstnanců,7219,Ostatní výzkum a vývoj v oblasti přírodních a technických věd
00027049,"Výzkumný ústav meliorací a ochrany půdy,v. v. i.",661,Veřejná výzkumná instituce,1981-01-01,,13110,Ústřední vládní instituce,50 - 99 zaměstnanců,7219,Ostatní výzkum a vývoj v oblasti přírodních a technických věd
00027383,ČESKÁ TELEVIZE,361,"Veřejnoprávní instituce (ČT,ČRo,ČTK)",1981-01-01,,13110,Ústřední vládní instituce,3000 - 3999 zaměstnanců,60200,Tvorba televizních programů a televizní vysílání
00027642,"OBZOR, výrobní družstvo invalidů v Praze",205,Družstvo,1981-01-01,,11002,Nefinanční podniky soukromé národní,50 - 99 zaměstnanců,22290,Výroba ostatních plastových výrobků
00029084,"SNAHA KV, družstvo",205,Družstvo,1972-01-01,,11002,Nefinanční podniky soukromé národní,6 - 9 zaměstnanců,1520,Výroba obuvi
00029513,"ZNAK Malá Skála, družstvo hodinářské a umělecké výroby",205,Družstvo,1982-03-01,,11002,Nefinanční podniky soukromé národní,25 - 49 zaměstnanců,32130,Výroba bižuterie a příbuzných výrobků
00029807,ORLÍK-KOMPRESORY výrobní družstvo,205,Družstvo,1972-01-01,,11002,Nefinanční podniky soukromé národní,100 - 199 zaměstnanců,28130,Výroba ostatních čerpadel a kompresorů
00030325,"KOVO, výrobní družstvo",205,Družstvo,1982-03-01,,11002,Nefinanční podniky soukromé národní,25 - 49 zaměstnanců,31090,Výroba ostatního nábytku
00030520,Dřevozpracující výrobní družstvo,205,Družstvo,1972-01-01,,11002,Nefinanční podniky soukromé národní,100 - 199 zaměstnanců,31010,Výroba kancelářského nábytku a zařízení obchodů
00055107,Střední odborné učiliště Uherský Brod,331,Příspěvková organizace,1982-06-30,,13130,Místní vládní instituce,50 - 99 zaměstnanců,85321,Střední odborné vzdělávání na učilištích
00063410,Městská část Praha 1,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00063461,Městská část Praha 2,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,84110,Všeobecné činnosti veřejné správy
