idsml,idver,zverejneni,uzavreni,subjekt,ico,utvar,cena_bezdph,cena_sdph,cena_cizi,cena_cizi_mena,predmet,navazny
9,9,2016-07-01T01:17:36+02:00,2016-06-30,Liberecký kraj,70891508,,80000.0,,,,rozšíření jádra IS Ginis o funkcionalitu zveřejňování smluv,
25,25,2016-07-01T06:38:46+02:00,2016-06-14,"Zdravotnická záchranná služba Zlínského kraje, příspěvková organizace",62182137,,,,,,Nájem nebytových prostor,
37,37,2016-07-01T07:36:00+02:00,2012-07-24,Hlavní město Praha,00064581,INF,,,,,Licence SW produktů,
45,45,2016-07-01T07:54:39+02:00,2016-07-04,"Odborné učiliště Cvrčovice, příspěvková organizace",60680300,,168415.41,203782.0,,,Smlouva o dílo,
49,49,2016-07-01T07:54:36+02:00,2013-01-02,Hlavní město Praha,00064581,INF,,,,,služby spočívající v poskytování podpory a údržby programového vybavení - sml. prodloužena dodatkem č. 1,
53,53,2016-07-01T08:10:11+02:00,2016-05-04,Fakturace (Ministerstvo obrany),60162694,A499,3600000.0,3600000.0,,,"LAND ROVER OLOMOUC - Servis, údržba a opravy vozidel kategorie M1 a N1 2016-2019 III (část 3)",
57,57,2016-07-01T08:15:07+02:00,2015-10-27,Fakturace (Ministerstvo obrany),60162694,A499,4000000.0,4000000.0,,,"ŠKODA a VW TÁBOR - část VZ č. 1 - Servis, údržba a opravy vozidel kategorie M1, N1 2015 - 2018 II",
61,61,2016-07-01T08:15:40+02:00,2015-02-19,Fakturace (Ministerstvo obrany),60162694,A499,81000000.0,81000000.0,,,Kancelářské potřeby 2015-2016,
65,65,2016-07-01T08:22:16+02:00,2016-04-04,Fakturace (Ministerstvo obrany),60162694,A499,,,,,"Dodatek č. 1 - ŠKODA a VW TÁBOR - část VZ č. 1 - Servis, údržba a opravy vozidel kategorie M1, N1 2015 - 2018 II",
69,69,2016-07-01T08:39:05+02:00,2015-06-30,Fakturace (Ministerstvo obrany),60162694,A499,11320000.0,11320000.0,,,"KAROSA, SOR a MERCEDES BRNO - část č. 4 VZ - OŘ Autobus - opravy a udržování 2015-2018",
73,73,2016-07-01T08:39:37+02:00,2015-07-22,Fakturace (Ministerstvo obrany),60162694,A499,11320000.0,11320000.0,,,KAROSA a SOR OLOMOUC - část č. 5 VZ - OŘ Autobus - opravy a udržování 2015-2018,
77,77,2016-07-01T08:41:11+02:00,2015-07-22,Fakturace (Ministerstvo obrany),60162694,A499,24360000.0,24360000.0,,,Autobusy různých značek PRAHA - část č. 1 VZ - OŘAutobus - opravy a udržování 2015-2018,
81,81,2016-07-01T08:50:33+02:00,2016-06-10,Fakturace (Ministerstvo obrany),60162694,A499,3600000.0,3600000.0,,,"Startovací elektrické akumulátory pro bojovou vojenskou techniku AČR ""T-72- BVP"" (část 1)",
85,85,2016-07-01T08:53:29+02:00,2016-06-10,Fakturace (Ministerstvo obrany),60162694,A499,4400000.0,4400000.0,,,"Startovací elektrické akumulátory pro bojovou vojenskou techniku AČR ""T-72- BVP"" (část 2)",
89,89,2016-07-01T08:53:51+02:00,2016-06-10,Fakturace (Ministerstvo obrany),60162694,A499,31500000.0,31500000.0,,,Startovací elektrické akumulatory pro vojenská vozidla AČR (část 3),
97,97,2016-07-01T09:14:26+02:00,2016-04-12,Fakturace (Ministerstvo obrany),60162694,A499,39798699.6,39798699.6,,,Očkovací látky 2016-2018 (část 1),
101,101,2016-07-01T09:16:10+02:00,2016-04-12,Fakturace (Ministerstvo obrany),60162694,A499,954000.0,954000.0,,,Očkovací látky 2016-2018 (část 2),
109,109,2016-07-01T09:17:50+02:00,2016-04-12,Fakturace (Ministerstvo obrany),60162694,A499,475000.0,475000.0,,,Očkovací látky 2016-2018 (část 3),
113,113,2016-07-01T09:34:42+02:00,2016-05-20,Fakturace (Ministerstvo obrany),60162694,A499,2705560.0,2705560.0,,,Medaile a rezortní vyznamenání 2016-2018,
117,117,2016-07-01T09:38:58+02:00,2015-04-17,Fakturace (Ministerstvo obrany),60162694,A499,4500000.0,4500000.0,,,"FORD OLOMOUC - část VZ č. 8 - Servis, údržba a opravy vozidel kategorie M1, N1 2015-2018",
121,121,2016-07-01T09:53:06+02:00,2015-05-13,Fakturace (Ministerstvo obrany),60162694,A499,3200000.0,3200000.0,,,"FORD PRAHA - část VZ č. 6 - Servis, údržba a opravy vozidel kategorie M1, N1 2015-2018",
